"timestamp","categoria","accion","detalles","resultados","duracion_ns","nota"
"2025-12-17 23:33:33","LOAD","Dataset oficial","archivo=citas_100.csv",100,0,""
"2025-12-18 00:03:15","LOAD","Dataset oficial","archivo=pacientes_500.csv",500,0,""
"2025-12-18 00:04:02","LOAD","Dataset oficial","archivo=pacientes_500.csv",500,0,""
"2025-12-18 00:04:53","LOAD","Dataset oficial","archivo=pacientes_500.csv",500,0,""
"2025-12-18 00:05:06","LOAD","Dataset oficial","archivo=pacientes_500.csv",500,0,""
"2025-12-18 00:22:31","LOAD","Dataset oficial","archivo=citas_100.csv",100,0,""
"2025-12-18 00:28:09","LOAD","Dataset oficial","archivo=pacientes_500.csv",500,0,""
"2025-12-18 00:29:36","SEARCH","Lineal por ID","id=CITA-010",0,791300,""
"2025-12-18 00:29:43","SEARCH","Lineal por ID","id=1",0,62600,""
"2025-12-18 00:29:48","LOAD","Dataset oficial","archivo=citas_100.csv",100,0,""
"2025-12-18 00:29:56","SEARCH","Lineal por ID","id=CITA-010",1,59700,""
"2025-12-18 00:31:38","LOAD","Dataset oficial","archivo=pacientes_500.csv",500,0,""
"2025-12-18 00:32:44","LOAD","Dataset oficial","archivo=citas_100_casi_ordenadas.csv",100,0,""
"2025-12-18 00:33:41","LOAD","Dataset oficial","archivo=citas_100.csv",100,0,""
"2025-12-18 00:34:10","LOAD","Dataset oficial","archivo=inventario_500_inverso.csv",500,0,""
"2025-12-18 00:37:32","LOAD","Dataset oficial","archivo=citas_100.csv",100,0,""
"2025-12-18 00:37:45","SEARCH","Lineal por ID","id=CITA-010",1,40800,""
"2025-12-18 00:37:57","SEARCH","findAll por apellido","apellido=VARGAS",4,179800,""
"2025-12-18 00:38:39","SEARCH","findAll por apellido","apellido=CASTRO",1,195300,""
"2025-12-18 00:38:57","SEARCH","findAll por apellido","apellido=CEDE�O",0,191800,""
"2025-12-18 00:39:20","SEARCH","findAll por apellido","apellido=CEDENO",0,95900,""
"2025-12-18 00:39:31","SEARCH","findAll por id","id=",0,50700,""
"2025-12-18 00:39:38","SEARCH","findAll por apellido","apellido=SERRANO",4,122800,""
"2025-12-18 00:39:54","SEARCH","findAll por id","id=",0,32600,""
"2025-12-18 00:39:59","SEARCH","findAll por apellido","apellido=VERA",2,44200,""
"2025-12-18 00:40:25","SEARCH","findAll por apellido","apellido=VARGAS",4,62700,""
"2025-12-18 00:42:17","LOAD","Dataset oficial","archivo=citas_100_casi_ordenadas.csv",100,0,""
"2025-12-18 00:48:45","LOAD","Dataset oficial","archivo=citas_100.csv",100,0,""
"2025-12-18 00:48:57","SEARCH","Lineal por ID","id=CITA-010",1,38300,""
"2025-12-18 00:49:06","SEARCH","findAll por apellido","apellido=VARGAS",4,181500,""
"2025-12-18 00:51:54","LOAD","Dataset oficial","archivo=citas_100.csv",100,0,""
"2025-12-18 00:52:40","SEARCH","findAll por apellido","apellido=VARGAS",4,733100,""
"2025-12-18 00:54:18","LOAD","Dataset oficial","archivo=citas_100.csv",100,0,""
"2025-12-18 00:54:56","LOAD","Dataset oficial","archivo=pacientes_500.csv",500,0,""
"2025-12-18 00:55:00","LOAD","Dataset oficial","archivo=citas_100.csv",100,0,""
